Iso3,Country ,GHI Ranking,GHI Index Score by 2000 range (1998–2004) ,GHI Index Score by 2008 range (2005–2012) ,GHI Index Score by 2016 range (2013–2020),GHI Index Score by 2024 range (2021–2024),Absolute change since 2016,% change since 2016,"Undernourishment 
(% of population) 2000 ('00–'02)","Undernourishment 
(% of population) 2008 ('07–'09)","Undernourishment 
(% of population) 2016 ('15–'17)","Undernourishment 
(% of population) 2024 ('21–'23)",Child wasting 2000 ('98–'02)(% of children under five years old),Child wasting 2008 ('06–'10) (% of children under five years old),Child wasting ('14–'18) (% of children under five years old),Child wasting ('19–'23) (% of children under five years old),Child stunting ('98–'02) (% of children under five years old),Child stunting ('06–'10) (% of children under five years old),Child stunting ('14–'18) (% of children under five years old),Child stunting ('19–'23) (% of children under five years old),Child mortality 2000 (% of children under five years old),Child mortality 20008 (% of children under five years old),Child mortality 2016 (% of children under five years old),Child mortality 2024 (% of children under five years old)
AFG,Afghanistan,116.0,49.6,35.7,27.1,30.8,3.7,13.7,46.0,25.1,20.5,30.4,8.9,7.2,5.1,3.6,54.4,50.8,38.2,44.6,13.2,9.6,7.0,5.8
ALB,Albania,42.0,16.0,15.5,6.2,7.9,1.7,27.4,4.9,7.4,4.3,4.5,6.5,9.6,1.6,3.9,32.8,23.2,11.3,12.5,2.7,1.6,0.9,0.9
DZA,Algeria,35.0,14.5,11.0,8.5,6.7,-1.8,-21.2,7.5,5.2,2.6,< 2.5,3.1,4.1,4.0,2.7,23.6,15.4,12.0,9.8,4.2,3.0,2.5,2.2
AGO,Angola,103.0,63.8,42.7,25.9,26.6,0.7,2.7,67.4,43.3,14.9,23.2,8.2,8.3,4.9,5.3,49.9,29.2,37.6,32.1,20.3,13.7,8.4,6.7
ARG,Argentina,33.0,6.6,5.4,5.2,6.6,1.4,26.9,2.9,3.2,3.0,3.2,2.1,1.2,1.8,2.7,10.2,8.2,8.0,12.3,1.9,1.5,1.1,0.9
ARM,Armenia,23.0,19.2,11.7,6.4,5.1,-1.3,-20.3,25.9,5.9,< 2.5,< 2.5,2.5,4.1,4.4,3.1,17.3,20.9,9.4,9.5,3.1,2.1,1.4,1.0
AZE,Azerbaijan,32.0,25.0,15.0,8.1,6.2,-1.9,-23.5,16.9,< 2.5,< 2.5,< 2.5,9.0,6.8,3.8,3.3,24.2,26.5,12.4,10.2,7.5,4.3,2.5,1.8
BHR,Bahrain,,,,,,—,—,—,—,—,—,0.9,0.8,0.7,0.7,2.4,1.9,1.8,1.8,1.2,0.9,0.7,0.7
BGD,Bangladesh,84.0,33.8,30.6,24.7,19.4,-5.3,-21.5,15.5,12.9,14.4,11.9,12.5,17.5,12.8,11.0,51.1,43.2,33.8,23.6,8.6,5.5,3.7,2.9
BLR,Belarus,1.0,<5,<5,<5,<5,—,—,< 2.5,< 2.5,< 2.5,< 2.5,2.5,2.1,2.0,2.0,6.1,3.8,3.3,3.1,1.3,0.7,0.4,0.3
BEN,Benin,99.0,33.7,26.9,23.6,24.7,1.1,4.7,17.2,10.4,9.7,10.3,9.0,5.2,4.8,8.3,36.2,37.4,33.1,34.1,13.6,11.3,9.5,8.1
BTN,Bhutan,,,,,,—,—,—,—,—,—,2.6,4.5,3.0,2.5,47.7,34.9,24.1,18.8,7.9,4.6,2.9,2.4
BOL,Bolivia (Plurinat. State of),76.0,27.0,21.2,14.3,16.8,2.5,17.5,26.4,22.9,15.6,23.0,1.6,1.4,2.0,1.5,33.2,27.1,16.1,17.2,7.6,4.7,3.0,2.4
BIH,Bosnia & Herzegovina,2.0,9.4,6.4,<5,<5,—,—,3.5,< 2.5,< 2.5,< 2.5,7.4,4.0,3.5,3.2,12.1,11.8,8.0,6.6,1.0,0.7,0.6,0.6
BWA,Botswana,90.0,27.5,26.3,21.4,20.7,-0.7,-3.3,23.7,22.3,20.9,24.3,5.9,7.3,7.3,6.3,29.1,28.9,17.4,13.9,7.8,6.4,4.7,3.9
BRA,Brazil,33.0,11.7,6.7,5.5,6.6,1.1,20.0,10.4,4.9,< 2.5,3.9,2.9,1.8,2.3,3.4,10.1,7.0,6.9,7.2,3.5,2.1,1.7,1.4
