Iso3,Area,StartDate (Food security),EndDate (Food Security),Item,Unit,Value,GHI Reference Year,GHI_Score,GHI_Rank,Absolute change since 2016,% change since 2016,Undernourishment_Pct (% of population),Child_Wasting_Pct (% of children under five years old),Child_Stunting_Pct (% of children under five years old),Child_Mortality_Pct (% of children under five years old),Note
PHL,Philippines,2000-01-01,2002-12-31,Average dietary energy supply adequacy (percent) (3-year average),%,109,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,2382,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2002-12-31,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,2375.0,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2002-12-31,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,58,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2002-12-31,Average protein supply (g/cap/day) (3-year average),g/cap/d,54.5,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2002-12-31,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,22.3,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,4841.8,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2002-12-31,Prevalence of undernourishment (percent) (3-year average),%,18.8,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2002-12-31,Number of people undernourished (million) (3-year average),million No,15,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2002-12-31,Cereal import dependency ratio (percent) (3-year average),%,25.5,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
